error_message,input_borough,input_hnum,input_street,uid
ADDRESS NUMBER OUT OF RANGE ,Staten Island,5803,HYLAN BLVD,520333755
'BISTEST ST' NOT RECOGNIZED. THERE ARE 005 SIMILAR NAMES. ,Manhattan,1,BISTEST ST,166001302
ADDRESS NUMBER OUT OF RANGE ,Queens,64-48,WOODHAVEN BOULEVARD,421597855
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,462,ALBANY AVENUE,302396057
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,1016GAR,CARROLL STREET,321569067
'BISTEST STREET' NOT RECOGNIZED. THERE ARE 005 SIMILAR NAMES. ,Manhattan,1,BISTEST STREET,150000021
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,372 REAR,WALLABOUT STREET,321313976
ADDRESS NUMBER OUT OF RANGE ,Queens,166-02,75 AVE,420850831
ADDRESS NUMBER OUT OF RANGE ,Queens,25-63REAR,38 STREET,421229281
ADDRESS NUMBER OUT OF RANGE ,Queens,133-27GAR,129 STREET,421328343
ADDRESS NUMBER OUT OF RANGE ,Queens,104-27GAR,ALSTYNE AVE,421458210
ADDRESS NUMBER OUT OF RANGE ,Staten Island,7017,HYLAN BLVD,520197616
ADDRESS NUMBER OUT OF RANGE ,Queens,43-22A,54 STREET,402271554
ADDRESS NUMBER OUT OF RANGE ,Staten Island,119,HANOVER AVENUE,520164606
ADDRESS NUMBER OUT OF RANGE ,Staten Island,137GAR,MADSEN AVENUE,520236940
ADDRESS NUMBER OUT OF RANGE ,Staten Island,247GAR,BIDWELL,520254714
ADDRESS NUMBER OUT OF RANGE ,Staten Island,939GAR,FOREST HILL ROAD,520279476
ADDRESS NUMBER OUT OF RANGE ,Staten Island,38REAR,SEAVIEW AVE,520328967
ADDRESS NUMBER OUT OF RANGE ,Bronx,1164,RIVER AVENUE,210178127
ADDRESS NUMBER OUT OF RANGE ,Staten Island,35,DOUGLAS COURT,520368815
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,755,CLEVELAND ST,321385782
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,176,BAY 29 STREET,302381562
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,176,BAY 29 STREET,302381571
'LEIF ERIKSON DRIVE' NOT RECOGNIZED. THERE ARE 005 SIMILAR NAMES. ,Brooklyn,3549,LEIF ERIKSON DRIVE,301338595
ADDRESS NUMBER OUT OF RANGE ,Staten Island,49,HALL AVENUE,500405108
THIS STREET HAS NO ADDRESSES ,Queens,135-03,STONE RIDGE LANE,401952437
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,2105 GAR,EAST 4 STREET,321261193
THIS STREET HAS NO ADDRESSES ,Queens,135-34,STONE RIDGE LANE,401952491
THIS STREET HAS NO ADDRESSES ,Queens,133-31,SPRING HILL LANE,401952721
THIS STREET HAS NO ADDRESSES ,Queens,135-03,SPRING HILL LANE,401952696
THIS STREET HAS NO ADDRESSES ,Queens,133-35,SPRING HILL LANE,401952730
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,1063,52 STREET,301022202
ADDRESS NUMBER OUT OF RANGE ,Staten Island,100,SIGNAL HILL ROAD,500910909
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,2280,80 STREET,301361292
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,24,DIKEMAN STREET,302015209
ADDRESS NUMBER OUT OF RANGE ,Queens,166-02,75 AVE,420850840
'WEST 18 SSTREET' NOT RECOGNIZED. IS IT 'WEST   18 STREET'? ,Manhattan,211,WEST 18 SSTREET,102630850
'GAY' NOT RECOGNIZED. THERE ARE 006 SIMILAR NAMES. ,Manhattan,12,GAY,110299775
'RIVINGTON' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. ,Manhattan,157,RIVINGTON,120705004
ADDRESS NUMBER OUT OF RANGE ,Bronx,2,ANGELAS PLACE,200850882
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,728,EAST 100 STREET,301603691
'ST. ANN''S AVENUE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. ,Bronx,650,ST. ANN''S AVENUE,220491251
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,1732,81 STREET,301795920
'ST JOHN''S PLACE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. ,Brooklyn,639,ST JOHN''S PLACE,320625640
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,1734,81 STREET,301795948
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,795,BARBEY STREET,301254327
'ST. MARK''S AVENUE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. ,Brooklyn,1725,ST. MARK''S AVENUE,320139462
ADDRESS NUMBER OUT OF RANGE ,Staten Island,99C,TAYLOR STREET,500758076
ADDRESS NUMBER OUT OF RANGE ,Staten Island,99B,TAYLOR STREET,500758085
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,42,KENT STREET,320179016
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,224,BUSHWICK AVENUE,301970437
ADDRESS NUMBER OUT OF RANGE ,Manhattan,751,AMSTERDAM AVENUE,103459516
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,485,DEAN STREET,301686575
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,2303,FARRAGUT ROAD,302379218
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,1438,EAST 17 STREET,301985555
ADDRESS NUMBER OUT OF RANGE ,Bronx,761,BEACH AVENUE,200775438
ADDRESS NUMBER OUT OF RANGE ,Bronx,2692,DR KAZIMIROFF BOULEVARD,200747763
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,594A,MARCY AVENUE,302371412
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,594A,MARCY AVENUE,302371403
ADDRESS NUMBER OUT OF RANGE ,Bronx,5104C,POST ROAD,210177529
ADDRESS NUMBER OUT OF RANGE ,Staten Island,266,HOOKER PLACE,500808860
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,6004,BAY PARKWAY,302359356
ADDRESS NUMBER OUT OF RANGE ,Bronx,4639,CARPENTER AVENUE,201102975
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,1435,GRANT AVENUE,301636148
ADDRESS NUMBER OUT OF RANGE ,Queens,21-21,31ST STREET,420659335
ADDRESS NUMBER OUT OF RANGE ,Queens,45-27,21 STREET,420315395
ADDRESS NUMBER OUT OF RANGE ,Queens,86-29,MARENGO STREET,401528290
ADDRESS NUMBER OUT OF RANGE ,Queens,209-13,ROCKAWAY POINT BOULEVARD,402596302
'TEST STREET' NOT RECOGNIZED. THERE ARE NO SIMILAR NAMES ,Manhattan,1,TEST STREET,127000305
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,3125 GARAGE,72 STREET,321444326
ADDRESS NUMBER OUT OF RANGE ,Queens,110-14,101 AVENUE,401999147
'TEST STREET' NOT RECOGNIZED. THERE ARE NO SIMILAR NAMES ,Manhattan,1,TEST STREET,145147141
ADDRESS NUMBER OUT OF RANGE ,Queens,178-17,147TH AVENUE,420243944
ADDRESS NUMBER OUT OF RANGE ,Bronx,6100,MOSHOLU AVENUE,200632119
ADDRESS NUMBER OUT OF RANGE ,Queens,195,INGRAM STREET,421524693
ADDRESS NUMBER OUT OF RANGE ,Staten Island,408,ASHLAND AVENUE,510035472
ADDRESS NUMBER OUT OF RANGE ,Staten Island,23,HIGHMOUNT ROAD,520362072
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,147,KENILWORTH PLACE,302219739
ADDRESS NUMBER OUT OF RANGE ,Bronx,3215,TIEMANN AVENUE,201051477
ADDRESS NUMBER OUT OF RANGE ,Staten Island,500,BLOOMFIELD AVENUE,520279038
ADDRESS NUMBER OUT OF RANGE ,Bronx,640,EAST 221 STREET,200989920
ADDRESS NUMBER OUT OF RANGE ,Queens,195GAR,INGRAM ST,421574095
ADDRESS NUMBER OUT OF RANGE ,Staten Island,240,RARITAN AVENUE,520365220
ADDRESS NUMBER OUT OF RANGE ,Staten Island,14,VAUGHAN STREET,500750699
ADDRESS NUMBER OUT OF RANGE ,Queens,80-32,COOPER AVENUE,401803740
ADDRESS NUMBER OUT OF RANGE ,Staten Island,307,DIXON AVENUE,500481294
ADDRESS NUMBER OUT OF RANGE ,Queens,178,BEACH 26 STREET,401760028
ADDRESS NUMBER OUT OF RANGE ,Bronx,270,ZEREGA AVENUE,200740886
ADDRESS NUMBER OUT OF RANGE ,Queens,366,HILLSIDE AVENUE,401365982
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,407,MARCY AVENUE,320128615
ADDRESS NUMBER OUT OF RANGE ,Queens,36-37,169 STREET,402320476
ADDRESS NUMBER OUT OF RANGE ,Queens,2-19,BEACH 101 STREET,402371492
ADDRESS NUMBER OUT OF RANGE ,Bronx,1127,EAST 211 STREET,200928354
ADDRESS NUMBER OUT OF RANGE ,Queens,71-74,PARSONS BOULEVARD,402402681
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,498,GLENMORE AVENUE,301489878
ADDRESS NUMBER OUT OF RANGE ,Manhattan,47,WEST STREET,104701271
ADDRESS NUMBER OUT OF RANGE ,Queens,126-04,LOCUST MANOR LANE,402400647
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,1453-55,WEST 5 STREET,301931300
ADDRESS NUMBER OUT OF RANGE ,Queens,41-19,27 STREET,401421957
ADDRESS NUMBER OUT OF RANGE ,Queens,91-28,86 DRIVE,401614507
THIS STREET HAS NO ADDRESSES ,Staten Island,28,WALTON AVENUE,500567380
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,3224,SNYDER AVENUE,302196978
ADDRESS NUMBER OUT OF RANGE ,Queens,45-43,BOWNE STREET,402598140
ADDRESS NUMBER OUT OF RANGE ,Bronx,183,WEST KINGSBRIDGE ROAD,200970342
ADDRESS NUMBER OUT OF RANGE ,Queens,1506,PINE COURT,420015977
'SAINT MARK''S AVENUE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. ,Brooklyn,1633,SAINT MARK''S AVENUE,310058647
ADDRESS NUMBER OUT OF RANGE ,Queens,561,BEACH 72 STREET,401310096
THIS STREET HAS NO ADDRESSES ,Queens,2512,ROBIN ROAD,402021628
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,193,FRANKLIN STREET,301142305
ADDRESS NUMBER OUT OF RANGE ,Staten Island,91,BEACH AVENUE,500911891
ADDRESS NUMBER OUT OF RANGE ,Staten Island,91,BEACH AVENUE,500911908
THIS STREET HAS NO ADDRESSES ,Staten Island,212,GARRAYS CIRCLE,500434194
ADDRESS NUMBER OUT OF RANGE ,Manhattan,1508,SECOND AVENUE,104341320
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,1161,41 STREET,302292427
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,57,13 STREET,302384658
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,722,57 STREET,302373376
ADDRESS NUMBER OUT OF RANGE ,Queens,170-22,93 AVENUE,401429496
ADDRESS NUMBER OUT OF RANGE ,Staten Island,293,NICHOLAS AVENUE,500607836
ADDRESS NUMBER OUT OF RANGE ,Bronx,2350,SOUTHERN BOULEVARD,220030669
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,443,HERKIMER STREET,320060330
ADDRESS NUMBER OUT OF RANGE ,Manhattan,640,WEST 131ST STREET,120797931
ADDRESS NBR 204-15 GARAG  HAS AN UNKNOWN OR INVALID SUFFIX/ENDING. ,Queens,204-15 GARAG,38 AVE,421594153
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,648,PACIFIC STREET,320137525
ADDRESS NUMBER OUT OF RANGE ,Staten Island,674,EDGEGROVE AVENUE,520054985
ADDRESS NUMBER OUT OF RANGE ,Queens,27-06,43RD AVE,420807489
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,2531,OCEAN AVENUE,321036099
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,129GAR,STOCKHOLM STREET,321304398
ADDRESS NUMBER OUT OF RANGE ,Queens,42-17GAR,74 ST,421353706
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,195,FLATBUSH AVENUE,302404226
ADDRESS NUMBER OUT OF RANGE ,Queens,84-24GAR,102 AVE,421394459
'ST MARK''S AVENUE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. ,Brooklyn,492,ST MARK''S AVENUE,302173699
ADDRESS NUMBER OUT OF RANGE ,Manhattan,646,WEST 131 STREET,103719166
ADDRESS NUMBER OUT OF RANGE ,Manhattan,394,2 AVENUE,104937632
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,2529,EAST 16 STREET,301125164
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,12,DUFFIELD STREET,301817407
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,8731,17 AVENUE,301918165
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,803,FOUNTAIN AVENUE,302143909
ADDRESS NUMBER OUT OF RANGE ,Staten Island,2495,VETERANS ROAD WEST,500909519
ADDRESS NUMBER OUT OF RANGE ,Staten Island,2,MERCER PLACE,500702509
ADDRESS NUMBER OUT OF RANGE ,Queens,132-10,POPLE AVENUE,420543594
ADDRESS NUMBER OUT OF RANGE ,Queens,37-44,72ND STREET,421216179
ADDRESS NUMBER OUT OF RANGE ,Queens,116-22,CURZON ROAD,421028685
ADDRESS NUMBER OUT OF RANGE ,Staten Island,95,HETT AVENUE,520201905
ADDRESS NUMBER OUT OF RANGE ,Queens,115-07,155 STREET,402118016
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,445,EAST 53 STREET,302286354
ADDRESS NUMBER OUT OF RANGE ,Queens,95-02,98 STREET,401877073
ADDRESS NUMBER OUT OF RANGE ,Staten Island,596,PAGE AVENUE,500797783
ADDRESS NUMBER OUT OF RANGE ,Staten Island,596,PAGE AVENUE,500797774
ADDRESS NUMBER OUT OF RANGE ,Staten Island,24,KELL AVENUE,500778438
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,371 GAR,ELTON STREET,301876030
ADDRESS NUMBER OUT OF RANGE ,Bronx,1741,HAZEN STREET,201144038
ADDRESS NUMBER OUT OF RANGE ,Queens,90-03,WOODHAVEN BOULEVARD,401720884
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,603,DEAN STREET,301377052
'ST ANN''S AVENUE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. ,Bronx,800,ST ANN''S AVENUE,201142833
ADDRESS NUMBER OUT OF RANGE ,Queens,74-10,GREENWAY NORTH,402405303
ADDRESS NUMBER OUT OF RANGE ,Bronx,3221,NETHERLAND AVENUE,200857992
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,1044GAR,57 STREET,321087435
ADDRESS NUMBER OUT OF RANGE ,Queens,64-82,WETHEROLE STREET,420947710
ADDRESS NUMBER OUT OF RANGE ,Queens,132-31,41 ROAD,401687885
ADDRESS NUMBER OUT OF RANGE ,Queens,83-74,117 STREET,401192295
ADDRESS NUMBER OUT OF RANGE ,Staten Island,80,OBERLIN STREET,500740166
ADDRESS NUMBER OUT OF RANGE ,Bronx,671,RIVER AVENUE,201072908
ADDRESS NUMBER OUT OF RANGE ,Bronx,515,EAST 162 STREET,201134726
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,512,EMERALD STREET,302089987
ADDRESS NUMBER OUT OF RANGE ,Staten Island,7474,AMBOY ROAD,520217051
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,723GARAGE,UTICA AVENUE,301134626
THIS STREET HAS NO ADDRESSES ,Queens,16,WOODROW COTTAGES,420366552
ADDRESS NUMBER OUT OF RANGE ,Bronx,1741,HAZEN STREET,201144010
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,572,4 AVENUE,302270325
ADDRESS NUMBER OUT OF RANGE ,Manhattan,816,AMSTERDAM AVENUE,103121202
ADDRESS NUMBER OUT OF RANGE ,Bronx,891,MORRIS AVENUE,200692143
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,1361,BLAKE AVENUE,301192616
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,292,FREEMAN STREET,301396763
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,1047,EAST 86 STREET,301512192
ADDRESS NUMBER OUT OF RANGE ,Queens,207-15,BEACH 3 STREET,401575862
ADDRESS NUMBER OUT OF RANGE ,Queens,66-41,79 PLACE,401618521
ADDRESS NUMBER OUT OF RANGE ,Queens,89-35,70 DRIVE,402026491
ADDRESS NUMBER OUT OF RANGE ,Queens,70-02,ROCKAWAY BEACH BOULEVARD,402118766
ADDRESS NUMBER OUT OF RANGE ,Staten Island,36,PEARSALL STREET,500505401
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,3224,SNYDER AVENUE,302196969
ADDRESS NUMBER OUT OF RANGE ,Staten Island,311 GARAGE,SPRAGUE AVE,520295476
ADDRESS NUMBER OUT OF RANGE ,Manhattan,940,CRAIG ROAD NORTH,104945838
ADDRESS NUMBER OUT OF RANGE ,Manhattan,948,CRAIG ROAD NORTH,104945785
THIS STREET HAS NO ADDRESSES ,Manhattan,702,DIVISION ROAD,104945847
THIS STREET HAS NO ADDRESSES ,Queens,133-55,SPRING HILL LANE,401952801
ADDRESS NUMBER OUT OF RANGE ,Queens,1060,BEACH 32 STREET,401805196
ADDRESS NUMBER OUT OF RANGE ,Queens,1062,BEACH 32 STREET,401805203
ADDRESS NUMBER OUT OF RANGE ,Queens,1038,GARDEN COURT,402533549
ADDRESS NUMBER OUT OF RANGE ,Staten Island,21,TALARICO COURT,500749274
ADDRESS NUMBER OUT OF RANGE ,Bronx,276,ZEREGA AVENUE,200740859
ADDRESS NUMBER OUT OF RANGE ,Manhattan,621,WEST 42 STREET,103920189
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,2872B,86 STREET,301105293
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,201,RIVERDALE AVENUE,301913473
ADDRESS NUMBER OUT OF RANGE ,Staten Island,21,AVENUE B,500773772
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,1301,MYRTLE AVENUE,301747108
THIS STREET HAS NO ADDRESSES ,Queens,3-38,WHITESTONE CIRCLE,402629571
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,5806,AVENUE O,301274109
ADDRESS NUMBER OUT OF RANGE ,Staten Island,5,MOSEL AVENUE,500810964
ADDRESS NUMBER OUT OF RANGE ,Staten Island,9,MOSEL AVENUE,500810982
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,55,EAST 28 STREET,301978821
ADDRESS NUMBER OUT OF RANGE ,Queens,134-14,140 STREET,421188770
ADDRESS NUMBER OUT OF RANGE ,Queens,150-14,JEWELS ROAD,402631844
ADDRESS NUMBER OUT OF RANGE ,Queens,150-10,JEWELS ROAD,402631835
ADDRESS NUMBER OUT OF RANGE ,Queens,150-45,6 AVENUE,402629900
ADDRESS NUMBER OUT OF RANGE ,Queens,91-48 GAR,87 ST.,421688383
THIS STREET HAS NO ADDRESSES ,Queens,135-30,STONE RIDGE LANE,401952507
ADDRESS NUMBER OUT OF RANGE ,Staten Island,79,GALLANT LOOP,510032260
'TEST STREET' NOT RECOGNIZED. THERE ARE NO SIMILAR NAMES ,Manhattan,1,TEST STREET,190000018
ADDRESS NUMBER OUT OF RANGE ,Manhattan,859,LEXINGTON AVENUE,103930757
ADDRESS NUMBER OUT OF RANGE ,Queens,21-41,BUTLER ST,420031263
ADDRESS NUMBER OUT OF RANGE ,Staten Island,51,GIACOMO LANE,500788070
ADDRESS NUMBER OUT OF RANGE ,Queens,6-05B,129 STREET,401510833
ADDRESS NUMBER OUT OF RANGE ,Queens,176-42,LIBERTY AVE,421481603
ADDRESS NUMBER OUT OF RANGE ,Queens,129-12,6TH AVENUE,410126037
ADDRESS NUMBER OUT OF RANGE ,Queens,129-04,6TH AVENUE,410125984
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,5810,AVENUE O,301274118
ADDRESS NUMBER OUT OF RANGE ,Queens,133-32,131 STREET,402576057
ADDRESS NUMBER OUT OF RANGE ,Bronx,1386,SHAKESPEARE AVENUE,200679809
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,204,12 STREET,302205931
ADDRESS NUMBER OUT OF RANGE ,Bronx,1400,SHAKESPEARE AVENUE,200679872
ADDRESS NUMBER OUT OF RANGE ,Bronx,1412,SHAKESPEARE AVENUE,200679934
ADDRESS NUMBER OUT OF RANGE ,Staten Island,56,TERRACE AVENUE,500571231
ADDRESS NUMBER OUT OF RANGE ,Bronx,1600,WILLIAMSBRIDGE ROAD,201001646
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,39,BRIGHTON 1 WALK,302162692
ADDRESS NUMBER OUT OF RANGE ,Staten Island,1064,HUGUENOT AVENUE,500658095
ADDRESS NUMBER OUT OF RANGE ,Staten Island,979,TARGEE STREET,500505571
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,1611,36 STREET,302148110
'ST ANN''S AVENUE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. ,Bronx,215,ST ANN''S AVENUE,220285242
'61' NOT RECOGNIZED. THERE ARE 002 SIMILAR NAMES. ,Brooklyn,516,61,310144769
ADDRESS NUMBER OUT OF RANGE ,Staten Island,659,WOOLEY AVENUE,500844394
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,158,MYRTLE AVENUE,302215804
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,1402,OCEAN PARKWAY,302023931
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,68,VERMONT STREET,302043394
ADDRESS NUMBER OUT OF RANGE ,Staten Island,738,ANNADALE ROAD,500772639
ADDRESS NUMBER OUT OF RANGE ,Manhattan,174,PERRY STREET,102735033
ADDRESS NUMBER OUT OF RANGE ,Staten Island,283,ST. MARYS AVENUE,520225328
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,236,MYRTLE AVENUE,302391873
ADDRESS NUMBER OUT OF RANGE ,Bronx,2307B,CROTONA AVENUE,201006598
ADDRESS NUMBER OUT OF RANGE ,Bronx,4461,WHITEPLAINS ROAD,201044084
ADDRESS NUMBER OUT OF RANGE ,Bronx,2843,TIEMANN AVENUE,220101422
ADDRESS NUMBER OUT OF RANGE ,Queens,102-21,160 AVENUE,401749667
THIS STREET HAS NO ADDRESSES ,Queens,135-09,SPRING HILL LANE,401952678
ADDRESS NUMBER OUT OF RANGE ,Bronx,1701,ANTHONY AVENUE,220468777
'O''GORMAN AVE' NOT RECOGNIZED. THERE ARE NO SIMILAR NAMES ,Staten Island,453,O''GORMAN AVE,520270206
ADDRESS NUMBER OUT OF RANGE ,Bronx,1451,BAY SHORE AVENUE,200995183
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,35,SOUTH 9 STREET,301443070
THIS STREET HAS NO ADDRESSES ,Queens,133-53,SPRING HILL LANE,401952794
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,2765,FULTON STREET,302053630
ADDRESS NUMBER OUT OF RANGE ,Bronx,2413,ARTHUR AVENUE,220397265
ADDRESS NUMBER OUT OF RANGE ,Queens,79-08,ROCKAWAY BEACH BOULEVARD,402280009
ADDRESS NUMBER OUT OF RANGE ,Bronx,951,CROES AVENUE,201112973
ADDRESS NUMBER OUT OF RANGE ,Queens,30-17,21 STREET,402504759
ADDRESS NUMBER OUT OF RANGE ,Staten Island,103,JOHN STREET,500798194
'O''CONNELL COURT' NOT RECOGNIZED. THERE ARE NO SIMILAR NAMES ,Queens,49-05,O''CONNELL COURT,421580382
ADDRESS NUMBER OUT OF RANGE ,Staten Island,43,OTTAVIO PROMENADE,500401825
ADDRESS NUMBER OUT OF RANGE ,Staten Island,219,HECKER STREET,500456375
ADDRESS NUMBER OUT OF RANGE ,Queens,7-03,152 STREET,401841753
ADDRESS NUMBER OUT OF RANGE ,Staten Island,26,JUSTIN AVENUE,500654776
ADDRESS NUMBER OUT OF RANGE ,Queens,1203,DINSMORE AVENUE,402628028
ADDRESS NUMBER OUT OF RANGE ,Bronx,3401,BRUCKNER BOULEVARD,201000460
ADDRESS NUMBER OUT OF RANGE ,Bronx,342,EAST 242 STREET,200776188
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,235,BAY RIDGE PARKWAY,302010776
ADDRESS NUMBER OUT OF RANGE ,Staten Island,88,VAN NAME AVENUE,500644617
ADDRESS NUMBER OUT OF RANGE ,Staten Island,904,CLOVE ROAD,500900705
ADDRESS NUMBER OUT OF RANGE ,Queens,168-28,105 AVENUE,402524443
ADDRESS NUMBER OUT OF RANGE ,Staten Island,1101,ROCKLAND AVENUE,500698934
ADDRESS NUMBER OUT OF RANGE ,Staten Island,708,VAN DUZER STREET,500564748
ADDRESS NUMBER OUT OF RANGE ,Queens,106-07,REMINGTON STREET,401128793
ADDRESS NUMBER OUT OF RANGE ,Manhattan,997,2 AVENUE,104294540
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,59,NORTH 6 STREET,301398752
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,296 REAR,ST. NICHOLAS AVE,321282303
ADDRESS NUMBER OUT OF RANGE ,Queens,42-71 REAR,77 STREET,421090009
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,385,EAST 9TH STREET,321247824
ADDRESS NUMBER OUT OF RANGE ,Queens,124-15,135 AVENUE,401998736
ADDRESS NUMBER OUT OF RANGE ,Staten Island,6,WINDOM AVENUE,500591950
ADDRESS NUMBER OUT OF RANGE ,Staten Island,110,HIGHLAND ROAD,500531855
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,622,PACIFIC STREET,302168856
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,8114,BAY 16 STREET,301238854
ADDRESS NUMBER OUT OF RANGE ,Queens,510,ORDINANCE ROAD,410186506
ADDRESS NUMBER OUT OF RANGE ,Bronx,232,CITY ISLAND AVENUE,210120894
THIS STREET HAS NO ADDRESSES ,Queens,425,ABBOT ROAD,410186560
ADDRESS NUMBER OUT OF RANGE ,Staten Island,2,CRAIG AVENUE,520053584
ADDRESS NUMBER OUT OF RANGE ,Queens,217-65,HOLLIS AVENUE,401107609
ADDRESS NUMBER OUT OF RANGE ,Queens,80-18,COOPER AVENUE,401650815
ADDRESS NUMBER OUT OF RANGE ,Queens,44-13,FRANCIS LEWIS BOULEVARD,401243604
ADDRESS NUMBER OUT OF RANGE ,Staten Island,143,MAIN STREET,500412305
ADDRESS NUMBER OUT OF RANGE ,Queens,821,MEEHAN AVENUE,402097501
ADDRESS NUMBER OUT OF RANGE ,Bronx,8,SOUTHERN BOULEVARD,210074499
ADDRESS NUMBER OUT OF RANGE ,Staten Island,221,BRYSON AVENUE,520068006
ADDRESS NUMBER OUT OF RANGE ,Bronx,260,EAST 162 STREET,200643474
ADDRESS NUMBER OUT OF RANGE ,Bronx,1516,OUTLOOK AVENUE,200655969
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,590,PRESIDENT STREET,301319062
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,174B,VERONICA PLACE,301625267
ADDRESS NUMBER OUT OF RANGE ,Queens,84-80,127 STREET,401861954
ADDRESS NUMBER OUT OF RANGE ,Queens,132-31,41 ROAD,401687894
ADDRESS NUMBER OUT OF RANGE ,Staten Island,584,MIDLAND AVENUE,500585510
ADDRESS NUMBER OUT OF RANGE ,Staten Island,216,WINCHESTER AVENUE,500574746
ADDRESS NUMBER OUT OF RANGE ,Queens,41-23,24 STREET,402519770
ADDRESS NUMBER OUT OF RANGE ,Bronx,472REAR,PENNYFIELD AVENUE,201140639
ADDRESS NUMBER OUT OF RANGE ,Manhattan,861,6 AVENUE,104905676
ADDRESS NUMBER OUT OF RANGE ,Manhattan,182,LUDLOW STREET,104772783
